groupKey,groupName,companyKey,companyName,productFolder,productName,imageCount,BHX,bhxPrice,bhxPriceStatus,bhxPriceFetchedAt,satrafood,Coop Mart,MEgA,Winmart
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_bien_hoa,Cong Ty Co Phan Hang Tieu Dung Bien Hoa,???????ng m??a th?????ng h???ng Bi??n H??a g??i 1kg,???????ng m??a th?????ng h???ng Bi??n H??a g??i 1kg,5,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,2 chai n?????c ch???m Nam Ng?? Si??u Ti???t Ki???m 800ml,2 chai n?????c ch???m Nam Ng?? Si??u Ti???t Ki???m 800ml,3,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,Gia v??? ho??n ch???nh d???ng x???t g?? chi??n n?????c m???m Chinsu h???p 700g,Gia v??? ho??n ch???nh d???ng x???t g?? chi??n n?????c m???m Chinsu h???p 700g,6,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,Gia v??? ho??n ch???nh d???ng x???t th???t kho Chinsu g??i 70g,Gia v??? ho??n ch???nh d???ng x???t th???t kho Chinsu g??i 70g,6,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,H???t n??m Chinsu ng???t t??m th??m th???t g??i 900g,H???t n??m Chinsu ng???t t??m th??m th???t g??i 900g,6,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,Kho qu???t Nam Ng?? h?? 200g,Kho qu???t Nam Ng?? h?? 200g,2,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,N?????c ch???m chua ng???t Nam Ng?? ???t t???i L?? S??n chai 300ml,N?????c ch???m chua ng???t Nam Ng?? ???t t???i L?? S??n chai 300ml,6,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,N?????c ch???m Nam Ng?? ????? Nh??? chai 900ml,N?????c ch???m Nam Ng?? ????? Nh??? chai 900ml,4,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,N?????c ch???m Nam Ng?? Si??u Ti???t Ki???m chai 800ml,N?????c ch???m Nam Ng?? Si??u Ti???t Ki???m chai 800ml,2,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,N?????c m???m c?? c??m Nam Ng?? 15 ????? ?????m chai 500ml,N?????c m???m c?? c??m Nam Ng?? 15 ????? ?????m chai 500ml,4,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,N?????c m???m c?? c??m Nam Ng?? 15 ????? ?????m chai 900ml,N?????c m???m c?? c??m Nam Ng?? 15 ????? ?????m chai 900ml,7,,,missing-url,2026-03-15T18:02:50.232Z,,,,
condiments_oil,"Dầu ăn, nước chấm, gia vị",cong_ty_co_phan_hang_tieu_dung_masan_masan_consumer,Cong Ty Co Phan Hang Tieu Dung Masan Masan Consumer,N?????c m???m Chinsu c?? c??m bi???n ????ng 25 ????? ?????m chai 720ml,N?????c m???m Chinsu c?? c??m bi???n ????ng 25 ????? ?????m chai 720ml,9,,,missing-url,2026-03-15T18:02:50.232Z,,,,
